order_id,checkout_id,brand_id,retailer_id,order_amount,has_discount,fees_percentage,payment_cost_percentage,shipping_cost_euro
1884,895,29,2139,"167,62",0,"0,15","0,05","5,97049322"
3361,1479,29,3553,"508,61",100,"0,05","0,05",20
10454,3373,29,6366,"141,6",0,"0,15","0,05","13,5"
1927,908,30,2039,"222,48",0,"0,15","0,05","19,0242662"
5119,1932,31,408,"109,73",100,"0,05","0,05","8,94"
4049,1646,31,851,"124,8",100,"0,05","0,05","8,94"
5154,1958,31,854,"109,72",100,"0,05","0,05","8,94"
5852,2263,31,1238,"205,75",100,"0,05","0,05","13,75"
1218,627,31,1599,"124,8",100,"0,05","0,05","10,45"
4081,1662,31,2003,"124,8",100,"0,05","0,05","8,94"
4112,1676,31,4212,"124,8",100,"0,05","0,05","8,94"
5519,1689,31,4213,"109,72",0,"0,15","0,05","8,94"
4128,1686,31,4225,"124,8",100,"0,05","0,05","8,94"
4544,1770,31,4227,"171,45",100,"0,05","0,05","8,94"
4168,1691,31,4235,"124,8",100,"0,05","0,05","8,94"
4248,1713,31,4263,"124,8",100,"0,05","0,05","8,94"
4404,1746,31,4331,"109,72",100,"0,05","0,05","8,94"
4546,1771,31,4383,"109,74",100,"0,05","0,05","8,94"
4787,1833,31,4449,"109,74",100,"0,05","0,05","8,94"
4826,1847,31,4467,"109,75",100,"0,05","0,05","8,94"
11678,3872,31,4501,130,0,"0,15","0,05","24,04"
5488,1906,31,4567,"109,71",0,"0,15","0,05","8,94"
5081,1907,31,4569,"109,74",100,"0,05","0,05","8,94"
6459,1925,31,4581,"109,72",0,"0,15","0,05","8,94"
5117,1930,31,4585,"109,72",100,"0,05","0,05","8,94"
5708,1938,31,4588,"109,74",100,"0,05","0,05","8,94"
5125,1937,31,4589,"109,71",100,"0,05","0,05","8,94"
5148,1951,31,4604,"109,73",100,"0,05","0,05","8,94"
5163,1950,31,4605,"109,72",100,"0,05","0,05","8,94"
5996,1957,31,4612,"109,73",100,"0,05","0,05","8,94"
5156,1960,31,4617,"226,3",100,"0,05","0,05","13,75"
5997,1967,31,4622,"109,71",100,"0,05","0,05","8,94"
7001,1968,31,4624,"371,36",100,"0,05","0,05","18,8251232"
5651,1984,31,4647,"109,71",100,"0,05","0,05","8,94"
5203,1995,31,4659,"109,73",100,"0,05","0,05","8,94"
5204,1996,31,4660,"109,73",100,"0,05","0,05","8,94"
5211,2002,31,4666,"109,74",100,"0,05","0,05","8,94"
5222,2016,31,4679,"109,72",100,"0,05","0,05","8,94"
5270,2031,31,4696,"205,75",100,"0,05","0,05","13,75"
5317,2043,31,4705,"281,19",100,"0,05","0,05","13,75"
7057,2613,31,5408,"219,45",100,"0,05","0,05","8,94"
1127,364,35,1110,128,0,"0,15","0,05","11,13"
1954,917,35,1463,"182,5",0,"0,15","0,05","13,35"
5176,1950,36,4605,"128,18",0,"0,15","0,05","14,2"
1339,683,38,1729,"123,56",0,"0,15","0,05","20,05"
2262,1029,39,1046,112,100,"0,05","0,05","19,55"
379,177,40,211,"117,74",0,"0,15","0,05",15
6608,2482,40,265,"113,95",0,"0,15","0,05","19,48"
1608,775,40,518,"131,66",0,"0,15","0,05","27,2"
9333,3308,40,966,"113,95",0,"0,15","0,05","19,48"
6144,1832,40,1201,"113,95",0,"0,15","0,05","51,79"
1497,737,40,1829,"115,21",0,"0,15","0,05","17,26"
6236,2237,40,2133,"208,89",0,"0,15","0,05","20,36"
5366,2064,40,4407,"113,95",0,"0,15","0,05",25
8433,3031,40,5870,"132,93",0,"0,15","0,05","18,16"
10037,3514,40,6313,"116,48",100,"0,05","0,05",15
10220,3570,40,6620,"189,9",0,"0,15","0,05","18,59"
1399,666,41,1646,"112,38",0,"0,15","0,05","9,76940664"
3078,1592,41,1646,"120,6",0,"0,15","0,05","15,9894307"
1488,731,41,1848,"116,79",0,"0,15","0,05","15,4298311"
4761,1753,44,180,"131,68",0,"0,15","0,05",20
2388,927,44,428,"205,64",0,"0,15","0,05","35,34"
5334,1688,44,513,"150,58",0,"0,15","0,05",20
707,390,44,668,"226,01",0,"0,15","0,05",20
1564,676,44,1057,"113,96",0,"0,15","0,05","12,8584626"
4199,1638,44,1104,"113,96",0,"0,15","0,05",20
2847,1160,44,1233,"109,51",0,"0,15","0,05","23,72"
4273,1282,44,1233,"194,96",0,"0,15","0,05",25
5758,2166,44,1334,"113,96",0,"0,15","0,05",20
5575,1275,44,1344,"113,94",0,"0,15","0,05",15
1276,627,44,1599,"120,59",0,"0,15","0,05","16,6"
1553,755,44,1903,"113,95",0,"0,15","0,05","15,7043067"
3233,758,44,1903,"125,97",0,"0,15","0,05","22,08"
3464,1489,44,1903,"256,38",0,"0,15","0,05","18,39"
6222,2237,44,2133,"113,96",0,"0,15","0,05",20
2948,1221,44,2897,"113,94",0,"0,15","0,05",25
9965,2083,44,4181,"113,96",0,"0,15","0,05",20
6939,2507,44,4275,108,0,"0,15","0,05",20
9741,3197,44,4275,"178,8",0,"0,15","0,05",20
5397,2039,44,4703,"150,27",0,"0,15","0,05",20
10543,3226,44,4703,"129,6",0,"0,15","0,05",20
7133,2629,44,5440,132,0,"0,15","0,05",48
9072,3216,44,6183,"113,96",0,"0,15","0,05",20
10761,3719,44,6718,"206,38",0,"0,15","0,05",20
5645,2154,49,4887,"119,66",100,"0,05","0,05","9,64319027"
6440,177,53,211,"178,19",0,"0,15","0,05","10,34"
3911,826,53,556,"112,35",0,"0,15","0,05","9,75"
6110,2301,53,556,"110,14",0,"0,15","0,05","9,75"
1103,367,53,784,"117,72",0,"0,15","0,05","9,35740942"
5985,2299,53,784,"156,96",0,"0,15","0,05","10,95"
2220,1016,53,1104,"395,63",100,"0,05","0,05","19,84"
844,459,53,1249,"322,19",0,"0,15","0,05","40,4924307"
5069,3371,53,1249,"112,35",0,"0,15","0,05","12,36"
9059,558,53,1350,"134,2",0,"0,15","0,05","14,19"
2286,1045,53,1627,"138,64",100,"0,05","0,05","11,82"
1228,629,53,1646,"117,72",0,"0,15","0,05","14,1178738"
3764,1339,53,1673,"159,83",0,"0,15","0,05","12,95"
1346,814,53,1737,"111,73",100,"0,05","0,05","10,26"
6057,2330,53,1893,"470,7",100,"0,05","0,05","31,48"
6237,2237,53,2133,"230,69",0,"0,15","0,05","12,95"
2789,1261,53,3097,"328,12",100,"0,05","0,05","18,93"
4734,1733,53,3140,"117,72",0,"0,15","0,05","10,95"
3504,1500,53,3735,"184,5",0,"0,15","0,05","12,95"
6761,2325,53,3735,"113,31",0,"0,15","0,05","11,12"
4201,1653,53,4162,"129,77",0,"0,15","0,05","11,12"
8251,2204,53,4418,"187,37",0,"0,15","0,05","14,2"
6963,2124,53,4703,"137,34",0,"0,15","0,05","9,75"
