,Unnamed: 0,tconst,primaryTitle,Directors,originalTitle,startYear,runtimeMinutes,averageRating,numVotes,genre 1,Crew
0,0,tt0059325,Born in '45,Jürgen Böttcher,Jahrgang 45,1990-01-01,100,6,251,Drama,"Jürgen Böttcher, Wolf Biermann, Monika Hildebrand"
1,1,tt0064820,The Plot Against Harry,Michael Roemer,The Plot Against Harry,1989-01-01,81,6,357,Comedy,"Margo Ann Berdeshevsky, Sandra Kazan, Sarah Christie, Martin Priest"
2,2,tt0067625,Trial on the Road,Aleksey German,Proverka na dorogakh,1986-01-01,96,7,2424,Drama,"Gennadi Dyudyayev, Rolan Bykov"
3,3,tt0070501,Little White Dove,Raúl Ruiz,Palomita blanca,1992-01-01,125,7,225,Comedy,Mónica Echeverría
4,4,tt0080828,Encounter of the Spooky Kind II,Ricky Lau,Gui yao gui,1989-01-01,100,6,424,Action,Sammo Kam-Bo Hung
5,5,tt0081145,Me and the Kid,Dan Curtis,Me and the Kid,1993-01-01,94,5,282,Comedy,"Demond Wilson, Mowava Pryor, Danny Aiello"
6,6,tt0081721,Vincent and Me,Michael Rubbo,Vincent et moi,1990-01-01,100,6,321,Drama,"Claude Nedjar, Rock Demers, Tchéky Karyo"
7,7,tt0081766,The Wizard of Speed and Time,Mike Jittlov,The Wizard of Speed and Time,1988-01-01,95,7,2076,Biography,"Tery McPhie, Phil Boroff, Paul Barselou, Mike Jittlov"
8,8,tt0082668,Lo que vendrÇ­,Gustavo Mosquera R.,Lo que vendrÇ­,1988-01-01,98,6,125,Crime,"Rosario Bléfari, Gustavo Mosquera R., Hugo Soto"
9,9,tt0084460,P.K. and the Kid,Lou Lombardo,P.K. and the Kid,1987-01-01,89,5,223,Drama,"Ann Bradley, Mimi Wickliff, Paul Le Mat"
10,10,tt0084548,Interrogation,Ryszard Bugajski,Przesluchanie,1989-01-01,118,8,3459,Crime,"Anna Romantowska, Krzysztof Gosztyla, Ryszard Bugajski, Krystyna Janda"
11,11,tt0084549,Blind Chance,Krzysztof Kieslowski,Przypadek,1987-01-01,114,7,10425,Drama,"Barbara Kociuba, Jacek Borkowski, Irena Byrska, Boguslaw Linda"
12,12,tt0085253,Blood Rage,John Grissmer,Blood Rage,1987-01-01,82,5,5249,Horror,Louise Lasser
13,13,tt0085916,Matka KrÇülÇüw,Janusz Zaorski,Matka KrÇülÇüw,1987-01-01,127,7,282,Drama,"Stanislaw Kaluzynski, Piotr Stefaniak, Joanna Szczepkowska, Magda Teresa Wójcik"
14,14,tt0086130,Portfolio,Robert Guralnick,Portfolio,1986-01-01,83,6,109,Drama,"Rocky Burnette, Carrie Nygren"
15,15,tt0086584,Wierna rzeka,Tadeusz Chmielewski,Wierna rzeka,1987-01-01,137,7,102,Drama,"Irena Burawska, Tadeusz Chmielewski, Tomasz Bek, Malgorzata Pieczynska"
16,16,tt0087300,The Frog Prince,Brian Gilbert,The Frog Prince,1986-01-01,100,6,106,Comedy,"Alexandre Sterling, Brigitte Chamarande, Jane Snowden"
17,17,tt0087301,Hibiscus Town,Jin Xie,Fu rong zhen,1987-01-01,164,8,1122,Drama,"Xiaoqing Liu, Wen Jiang"
18,18,tt0087900,Change of Fate,Kira Muratova,Peremena uchasti,1987-01-01,109,7,137,Drama,"Natalya Leble, Vladimir Dmitriev, Natalya Leble"
19,19,tt0088267,Tian di xuan men,Thomas Yip,Tian di xuan men,1991-01-01,90,5,114,Action,Phillip Ko
20,20,tt0088670,Um Adeus PortuguǦs,João Botelho,Um Adeus PortuguǦs,1986-01-01,85,6,123,Drama,"Anamar, João Botelho, Maria Cabral, Isabel de Castro"
21,21,tt0088745,The Killer is Still Among Us,Camillo Teti,L'assassino Çù ancora tra noi,1986-01-01,83,5,447,Horror,"Mariangela D'Abbraccio, Mariangela D'Abbraccio"
22,22,tt0088799,Il Bi e il Ba,Maurizio Nichetti,Il Bi e il Ba,1986-01-01,90,6,169,Comedy,"Maria Giovanna Elmi, Daniela Conti, Sergio Cosentino, Nino Frassica"
23,23,tt0088842,Boycott,Mohsen Makhmalbaf,Baykot,1986-01-01,114,5,372,Drama,Ardalan Shoja-Kaveh
24,24,tt0088879,Il camorrista,Giuseppe Tornatore,Il camorrista,1986-01-01,171,7,1556,Crime,"Cloris Brosca, Giuseppe Marrazzo, Eurilla del Bono, Ben Gazzara"
25,25,tt0088900,Secret Obsession,Ridha Behi,Champagne amer,1989-01-01,82,5,103,Drama,Jean Carmet
26,26,tt0088938,Colierul de turcoaze,Gheorghe Vitanidis,Colierul de turcoaze,1986-01-01,92,7,323,Action,"Alexandru Arsinel, Marga Barbu, Constantin Codrescu, Florin Piersic"
27,27,tt0088952,Crystal Heart,Gil Bettman,Crystal Heart,1986-01-01,103,5,270,Drama,Lee Curreri
28,28,tt0089016,Desiderando Giulia,Andrea Barzini,Desiderando Giulia,1986-01-01,104,5,312,Drama,"Andrea Barzini, Serena Grandi"
29,29,tt0089019,Detective School Dropouts,Filippo Ottoni,Detective School Dropouts,1986-01-01,92,5,355,Comedy,"Lorin Dreyfuss, David Landsberg"
30,30,tt0089063,Dvoynoy kapkan,Aloizs Brencs,Dvoynoy kapkan,1986-01-01,139,6,105,Crime,Algis Matulionis
31,31,tt0089074,EgǸszsǸges erotika,Péter Tímár,EgǸszsǸges erotika,1986-01-01,94,7,1365,Comedy,"Denise Kárpáti, László K. Nagy, Éva Varga, Éva Varga"
32,32,tt0089084,Az elvarÇ­zsolt dollÇ­r,István Bujtor,Az elvarÇ­zsolt dollÇ­r,1986-01-01,90,7,773,Comedy,"István Bujtor, Attila Hajdu, Edina Somlai, István Bujtor"
33,33,tt0089118,F/X,Robert Mandel,F/X,1986-01-01,109,6,20999,Action,"M'el Dowd, Steve Dash, Drummond Erskine, Bryan Brown"
34,34,tt0089122,Fair Game,Mario Andreacchio,Fair Game,1986-01-01,86,6,1585,Action,"Garry Who, Cassandra Delaney"
35,35,tt0089123,FalfǧrÇü,György Szomjas,FalfǧrÇü,1986-01-01,98,6,325,Comedy,"Ágnes Bertalan, Béla Bokodi, Mariann Erdös, János Bán"
36,36,tt0089205,Gilsoddeum,Im Kwon-taek,Gilsoddeum,1986-01-01,105,7,101,Drama,"Sang-Ah Lee, Ji-il Han, Ji-mee Kim"
37,37,tt0089221,The Gospel According to Vic,Charles Gormley,Heavenly Pursuits,1986-01-01,92,6,571,Comedy,"Charles Gormley, Robert Paterson, Tom Conti"
38,38,tt0089270,Heng cai san qian wan,Karl Maka,Heng cai san qian wan,1987-01-01,93,5,147,Adventure,Karl Maka
39,39,tt0089287,Hollywood Harry,Robert Forster,Hollywood Harry,1986-01-01,98,5,110,Comedy,"Cynthia Thompson, Mallie Jackson, Robert Forster"
40,40,tt0089409,Keeping Track,Robin Spry,Keeping Track,1986-01-01,102,5,118,Adventure,"Gary Plaxton, Raymond Bélisle, Jacques Desbaillets, Michael Sarrazin"
41,41,tt0089413,Khamosh,Vidhu Vinod Chopra,Khamosh,1986-01-01,101,7,1051,Mystery,Shabana Azmi
42,42,tt0089499,Lola,Bigas Luna,Lola,1986-01-01,106,5,234,Drama,"Carme Sansa, Rosa Novell, Hilario Camacho, Ángela Molina"
43,43,tt0089541,Mambrǧ se fue a la guerra,Fernando Fernán Gómez,Mambrǧ se fue a la guerra,1986-01-01,99,6,196,Comedy,"Pedro Beltrán, María Asquerino, Fernando Fernán Gómez"
44,44,tt0089599,Mirch Masala,Ketan Mehta,Mirch Masala,1986-01-01,128,7,1486,Drama,"Smita Patil, Suresh Oberoi, Smita Patil"
45,45,tt0089633,Mr. Love,Roy Battersby,Mr. Love,1986-01-01,91,6,181,Comedy,Barry Jackson
46,46,tt0089663,A nagy generÇ­ciÇü,Ferenc András,A nagy generÇ­ciÇü,1986-01-01,109,7,164,Drama,"Ferenc András, Beatrix Zillich, György Cserhalmi"
47,47,tt0089671,Nattseilere,Tor M. Tørstad,Nattseilere,1986-01-01,113,6,212,Adventure,"Ellen Andreassen Jensen, Katja Medbøe"
48,48,tt0089699,Blood Hunt,Javier Elorrieta,La noche de la ira,1986-01-01,105,5,100,Crime,"Horacio Guerra, Aldo Sambrell"
49,49,tt0089721,The Detached Mission,Mikhail Tumanishvili,Odinochnoe plavanie,1986-01-01,96,5,237,Action,"Valeriy Frolov, Nikolay Astapov, Nartay Begalin, Mikhail Nozhkin"
50,50,tt0089794,A King and His Movie,Carlos Sorin,La pelÇðcula del rey,1986-01-01,107,7,452,Comedy,"Ana María Giunta, Fernando Bravo, Villanueva Cosse, Ulises Dumont"
51,51,tt0089803,Peter von Scholten,Palle Kjærulff-Schmidt,Peter von Scholten,1987-01-01,113,5,170,Drama,"Sven Holm, Ole Ernst"
52,52,tt0089861,Witch from Nepal,Siu-Tung Ching,Qi yuan,1986-01-01,89,5,316,Action,Chow Yun-Fat
53,53,tt0089864,Sacrificed Youth,Nuanxing Zhang,Qing chun ji,1986-01-01,92,7,126,Drama,Nuanxing Zhang
54,54,tt0089935,"Rosa la rose, fille publique",Paul Vecchiali,"Rosa la rose, fille publique",1986-01-01,92,6,242,Drama,"Pierre Belot, Marianne Basler"
55,55,tt0089997,Seven Minutes in Heaven,Linda Feferman,Seven Minutes in Heaven,1986-01-01,88,5,1861,Comedy,"Matthew Lewis, Peter Ivers, Vincent Capolupo, Jennifer Connelly"
56,56,tt0090055,Speriamo che sia femmina,Mario Monicelli,Speriamo che sia femmina,1986-01-01,120,6,746,Comedy,"Bernard Blier, Camillo Bazzoni, Lucrezia Lante della Rovere, Liv Ullmann"
57,57,tt0090101,Super Fantozzi,Neri Parenti,Super Fantozzi,1986-01-01,92,6,2119,Comedy,"Gigi Reder, Liù Bosisio, Paolo Villaggio"
58,58,tt0090109,Swathi Muthyam,K. Viswanath,Swathi Muthyam,1986-01-01,160,8,892,Drama,"Edida Nageshwara Rao, K. Viswanath, Kamal Haasan"
59,59,tt0090197,In a Glass Cage,Agustí Villaronga,Tras el cristal,1986-01-01,110,6,4778,Drama,"Günter Meisner, Biel Moll, Günter Meisner"
60,60,tt0090199,Treasure Island,Raúl Ruiz,Treasure Island,1986-01-01,115,6,239,Adventure,"João Bénard da Costa, Vic Tayback"
61,61,tt0090259,Voyage to Nowhere,Fernando Fernán Gómez,El viaje a ninguna parte,1986-01-01,134,7,1760,Comedy,"Fernando Fernán Gómez, Nacho Martínez, Carlos Lemos, José Sacristán"
62,62,tt0090266,A Virus Knows No Morals,Rosa von Praunheim,Ein Virus kennt keine Moral,1986-01-01,84,5,140,Comedy,"Tima die Göttliche, Hella von Sinnen"
63,63,tt0090271,Wolf's Hole,Vera Chytilová,Vlci bouda,1987-01-01,92,6,587,Adventure,"Jaromír Sofr, Michael Kocáb, Nina Divísková, Miroslav Machácek"
64,64,tt0090282,Vyyti zamuzh za kapitana,Vitaliy Melnikov,Vyyti zamuzh za kapitana,1986-01-01,90,6,179,Comedy,"Tatyana Rudina, Boris Liznev, Nikita Mikhaylovsky, Vera Glagoleva"
65,65,tt0090302,The Legend of Wisely,Teddy Robin Kwan,Wai Si-Lei chuen kei,1987-01-01,90,6,387,Action,"Alan Ko, Eva Cobo, Samuel Hui"
66,66,tt0090315,When the Wind Blows,Jimmy T. Murakami,When the Wind Blows,1986-01-01,84,7,11636,Animation,"James Russell, Raymond Briggs"
67,67,tt0090327,Witchboard,Kevin Tenney,Witchboard,1986-01-01,98,5,7488,Horror,"Kevin Tenney, Rose Marie, Tawny Kitaen, Todd Allen"
68,68,tt0090336,Wohin und zurǬck - Teil 3: Welcome in Vienna,Axel Corti,Wohin und zurǬck - Teil 3: Welcome in Vienna,1986-01-01,127,7,180,Drama,"Hubert Mann, Axel Corti, Gabriel Barylli"
