,Unnamed: 0,tconst,primaryTitle,Directors,originalTitle,startYear,runtimeMinutes,averageRating,numVotes,Crew,genre
45,45,tt0089633,Mr. Love,Roy Battersby,Mr. Love,1986-01-01,91,6,181,Barry Jackson,"Comedy,NONE,NONE"
46,46,tt0089663,A nagy generÇ­ciÇü,Ferenc András,A nagy generÇ­ciÇü,1986-01-01,109,7,164,"Ferenc András, Beatrix Zillich, György Cserhalmi","Drama,NONE,NONE"
47,47,tt0089671,Nattseilere,Tor M. Tørstad,Nattseilere,1986-01-01,113,6,212,"Ellen Andreassen Jensen, Katja Medbøe","Adventure,Drama,NONE"
48,48,tt0089699,Blood Hunt,Javier Elorrieta,La noche de la ira,1986-01-01,105,5,100,"Horacio Guerra, Aldo Sambrell","Crime,Drama,Thriller"
49,49,tt0089721,The Detached Mission,Mikhail Tumanishvili,Odinochnoe plavanie,1986-01-01,96,5,237,"Valeriy Frolov, Nikolay Astapov, Nartay Begalin, Mikhail Nozhkin","Action,Drama,NONE"
50,50,tt0089794,A King and His Movie,Carlos Sorin,La pelÇðcula del rey,1986-01-01,107,7,452,"Ana María Giunta, Fernando Bravo, Villanueva Cosse, Ulises Dumont","Comedy,Drama,NONE"
51,51,tt0089803,Peter von Scholten,Palle Kjærulff-Schmidt,Peter von Scholten,1987-01-01,113,5,170,"Sven Holm, Ole Ernst","Drama,NONE,NONE"
52,52,tt0089861,Witch from Nepal,Siu-Tung Ching,Qi yuan,1986-01-01,89,5,316,Chow Yun-Fat,"Action,Horror,NONE"
53,53,tt0089864,Sacrificed Youth,Nuanxing Zhang,Qing chun ji,1986-01-01,92,7,126,Nuanxing Zhang,"Drama,NONE,NONE"
54,54,tt0089935,"Rosa la rose, fille publique",Paul Vecchiali,"Rosa la rose, fille publique",1986-01-01,92,6,242,"Pierre Belot, Marianne Basler","Drama,NONE,NONE"
55,55,tt0089997,Seven Minutes in Heaven,Linda Feferman,Seven Minutes in Heaven,1986-01-01,88,5,1861,"Matthew Lewis, Peter Ivers, Vincent Capolupo, Jennifer Connelly","Comedy,Drama,Romance"
56,56,tt0090055,Speriamo che sia femmina,Mario Monicelli,Speriamo che sia femmina,1986-01-01,120,6,746,"Bernard Blier, Camillo Bazzoni, Lucrezia Lante della Rovere, Liv Ullmann","Comedy,Drama,NONE"
57,57,tt0090101,Super Fantozzi,Neri Parenti,Super Fantozzi,1986-01-01,92,6,2119,"Gigi Reder, Liù Bosisio, Paolo Villaggio","Comedy,NONE,NONE"
58,58,tt0090109,Swathi Muthyam,K. Viswanath,Swathi Muthyam,1986-01-01,160,8,892,"Edida Nageshwara Rao, K. Viswanath, Kamal Haasan","Drama,Family,Romance"
59,59,tt0090197,In a Glass Cage,Agustí Villaronga,Tras el cristal,1986-01-01,110,6,4778,"Günter Meisner, Biel Moll, Günter Meisner","Drama,Horror,NONE"
60,60,tt0090199,Treasure Island,Raúl Ruiz,Treasure Island,1986-01-01,115,6,239,"João Bénard da Costa, Vic Tayback","Adventure,Fantasy,NONE"
61,61,tt0090259,Voyage to Nowhere,Fernando Fernán Gómez,El viaje a ninguna parte,1986-01-01,134,7,1760,"Fernando Fernán Gómez, Nacho Martínez, Carlos Lemos, José Sacristán","Comedy,Drama,NONE"
