,tconst,primaryTitle,Directors,originalTitle,startYear,runtimeMinutes,averageRating,numVotes,genre 1,Crew
2,tt0067625,Trial on the Road,Aleksey German,Proverka na dorogakh,1986-01-01,96,7,2424,Drama,"Gennadi Dyudyayev, Rolan Bykov"
7,tt0081766,The Wizard of Speed and Time,Mike Jittlov,The Wizard of Speed and Time,1988-01-01,95,7,2076,Biography,"Tery McPhie, Phil Boroff, Paul Barselou, Mike Jittlov"
10,tt0084548,Interrogation,Ryszard Bugajski,Przesluchanie,1989-01-01,118,8,3459,Crime,"Anna Romantowska, Krzysztof Gosztyla, Ryszard Bugajski, Krystyna Janda"
11,tt0084549,Blind Chance,Krzysztof Kieslowski,Przypadek,1987-01-01,114,7,10425,Drama,"Barbara Kociuba, Jacek Borkowski, Irena Byrska, Boguslaw Linda"
12,tt0085253,Blood Rage,John Grissmer,Blood Rage,1987-01-01,82,5,5249,Horror,Louise Lasser
17,tt0087301,Hibiscus Town,Jin Xie,Fu rong zhen,1987-01-01,164,8,1122,Drama,"Xiaoqing Liu, Wen Jiang"
24,tt0088879,Il camorrista,Giuseppe Tornatore,Il camorrista,1986-01-01,171,7,1556,Crime,"Cloris Brosca, Giuseppe Marrazzo, Eurilla del Bono, Ben Gazzara"
31,tt0089074,EgǸszsǸges erotika,Péter Tímár,EgǸszsǸges erotika,1986-01-01,94,7,1365,Comedy,"Denise Kárpáti, László K. Nagy, Éva Varga, Éva Varga"
33,tt0089118,F/X,Robert Mandel,F/X,1986-01-01,109,6,20999,Action,"M'el Dowd, Steve Dash, Drummond Erskine, Bryan Brown"
34,tt0089122,Fair Game,Mario Andreacchio,Fair Game,1986-01-01,86,6,1585,Action,"Garry Who, Cassandra Delaney"
41,tt0089413,Khamosh,Vidhu Vinod Chopra,Khamosh,1986-01-01,101,7,1051,Mystery,Shabana Azmi
44,tt0089599,Mirch Masala,Ketan Mehta,Mirch Masala,1986-01-01,128,7,1486,Drama,"Smita Patil, Suresh Oberoi, Smita Patil"
55,tt0089997,Seven Minutes in Heaven,Linda Feferman,Seven Minutes in Heaven,1986-01-01,88,5,1861,Comedy,"Matthew Lewis, Peter Ivers, Vincent Capolupo, Jennifer Connelly"
57,tt0090101,Super Fantozzi,Neri Parenti,Super Fantozzi,1986-01-01,92,6,2119,Comedy,"Gigi Reder, Liù Bosisio, Paolo Villaggio"
59,tt0090197,In a Glass Cage,Agustí Villaronga,Tras el cristal,1986-01-01,110,6,4778,Drama,"Günter Meisner, Biel Moll, Günter Meisner"
61,tt0090259,Voyage to Nowhere,Fernando Fernán Gómez,El viaje a ninguna parte,1986-01-01,134,7,1760,Comedy,"Fernando Fernán Gómez, Nacho Martínez, Carlos Lemos, José Sacristán"
66,tt0090315,When the Wind Blows,Jimmy T. Murakami,When the Wind Blows,1986-01-01,84,7,11636,Animation,"James Russell, Raymond Briggs"
67,tt0090327,Witchboard,Kevin Tenney,Witchboard,1986-01-01,98,5,7488,Horror,"Kevin Tenney, Rose Marie, Tawny Kitaen, Todd Allen"
71,tt0090555,Crocodile Dundee,Peter Faiman,Crocodile Dundee,1986-01-01,97,6,109321,Action,"Paul Hogan, Phil Judd, Anne Carlisle, Paul Hogan"
72,tt0090556,"night, Mother",Tom Moore,"night, Mother",1986-01-01,96,7,2422,Drama,"Michael Kenworthy, Marsha Norman, Sissy Spacek"
73,tt0090557,Round Midnight,Bertrand Tavernier,Round Midnight,1986-01-01,133,7,5541,Drama,"Bobby Hutcherson, Bruno de Keyzer, Dexter Gordon"
75,tt0090563,Betty Blue,Jean-Jacques Beineix,37¶ø2 le matin,1986-01-01,119,7,22238,Drama,"Jean-Jacques Beineix, Jean-Hugues Anglade, Claude Aufaure"
77,tt0090565,Four Adventures of Reinette and Mirabelle,Éric Rohmer,4 aventures de Reinette et Mirabelle,1987-01-01,99,7,3198,Comedy,"Joëlle Miquel, Ronan Girre, Jean-Claude Brisseau"
78,tt0090567,52 Pick-Up,John Frankenheimer,52 Pick-Up,1986-01-01,110,6,6440,Crime,"Robert Trebor, Debra Satell, Roy Scheider"
79,tt0090568,8 Million Ways to Die,Hal Ashby,8 Million Ways to Die,1986-01-01,115,5,5507,Action,"Christa Denton, Lawrence Block, Jeff Bridges"
80,tt0090570,84 Charing Cross Road,David Hugh Jones,84 Charing Cross Road,1987-01-01,100,7,10520,Biography,"Eleanor David, Judy Courtney, Ronn Carroll, Anne Bancroft"
81,tt0090575,Aakhree Raasta,Bhagyaraj,Aakhree Raasta,1986-01-01,164,7,1496,Action,"Bhagyaraj, Amitabh Bachchan"
82,tt0090576,The Assault,Fons Rademakers,De aanslag,1986-01-01,141,7,3311,Drama,"Jurriaan Andriessen, Edda Barends, Tabe Bas, Derek de Lint"
84,tt0090579,Voyeur,Alex van Warmerdam,Abel,1986-01-01,100,7,2434,Comedy,"Jan-Willem Hees, Alex van Warmerdam"
85,tt0090583,About Last Night,Edward Zwick,About Last Night...,1986-01-01,113,6,16546,Comedy,"Karla Bonoff, Paul Davis, Dawn Arnemann, Rob Lowe"
86,tt0090585,Absolute Beginners,Julien Temple,Absolute Beginners,1986-01-01,108,5,3548,Drama,"Richard Burridge, Gerry Alexander, Patsy Kensit"
87,tt0090601,Aladdin,Bruno Corbucci,Superfantagenio,1986-01-01,96,5,3402,Adventure,"Julian Voloshin, Diamy Spencer, Bud Spencer"
88,tt0090605,Aliens,James Cameron,Aliens,1986-01-01,137,8,727915,Action,"Jenette Goldstein, Bill Paxton, Lance Henriksen, Sigourney Weaver"
89,tt0090610,The Children of Noisy Village,Lasse Hallström,Alla vi barn i Bullerbyn,1986-01-01,87,6,2258,Family,"Peter Dywik, Tove Edfeldt, Ellen Demérus"
94,tt0090644,Anguish,Bigas Luna,Angustia,1987-01-01,86,6,4034,Horror,"Gilbert Price, Bigas Luna, Zelda Rubinstein"
96,tt0090655,April Fool's Day,Fred Walton,April Fool's Day,1986-01-01,89,6,17400,Horror,"Jay Baker, Lloyd Berry, Tom Heaton, Deborah Foreman"
99,tt0090660,Armed and Dangerous,Mark L. Lester,Armed and Dangerous,1986-01-01,88,5,12171,Action,"Robert Gray, Christine Dupree, Wilson Camp, John Candy"
100,tt0090665,Halfaouine: Boy of the Terraces,Férid Boughedir,Asfour Stah,1990-01-01,98,6,1676,Comedy,"Fatma Ben Saïdane, Mustapha Adouani"
101,tt0090670,At Close Range,James Foley,At Close Range,1986-01-01,111,6,16734,Crime,"James Foley, Bob McDivitt, Marshall Fallwell Jr., Sean Penn"
104,tt0090678,Avenging Force,Sam Firstenberg,Avenging Force,1986-01-01,104,5,3068,Action,"Loren Farmer, Ramon Olavarietta, Becki Davis"
105,tt0090679,Year of Enlightment,Fernando Trueba,El aÇño de las luces,1986-01-01,105,6,1083,Comedy,"Violeta Cela, Ángel Muñoz Alonso, Jorge Sanz"
107,tt0090685,Back to School,Alan Metter,Back to School,1986-01-01,96,6,34010,Comedy,"Terry Farrell, Adrienne Barbeau, David Rawlins, Rodney Dangerfield"
110,tt0090693,Band of the Hand,Paul Michael Glaser,Band of the Hand,1986-01-01,109,6,3074,Action,"Marcy Carriker, Leo Garen, Howie Epstein, Stephen Lang"
113,tt0090713,The Best of Times,Roger Spottiswoode,The Best of Times,1986-01-01,104,6,7722,Comedy,"Vister Hayes, Norm Schachter, Robin Williams"
116,tt0090728,Big Trouble in Little China,John Carpenter,Big Trouble in Little China,1986-01-01,99,7,145317,Action,"Keith Barish, Lia Chang, J. Barry Herron, Kurt Russell"
117,tt0090729,Biggles: Adventures in Time,John Hough,Biggles,1986-01-01,108,5,3177,Adventure,"Francesca Gonshaw, Marcus Gilbert, John Hough"
120,tt0090735,Black Moon Rising,Harley Cokeliss,Black Moon Rising,1986-01-01,100,5,6213,Action,"Eduardo Paolozzi, Polly Burson, Dalton Cathey, Tommy Lee Jones"
121,tt0090738,Black Widow,Bob Rafelson,Black Widow,1987-01-01,102,6,10332,Crime,"Richard Arnold, Debra Winger"
122,tt0090756,Blue Velvet,David Lynch,Blue Velvet,1986-01-01,120,7,204474,Crime,"Laura Dern, Julee Cruise, Dennis Hopper, Isabella Rossellini"
126,tt0090768,The Boy Who Could Fly,Nick Castle,The Boy Who Could Fly,1986-01-01,114,6,6257,Drama,"Nick Castle, Lucy Deakins"
127,tt0090769,The Boy in Blue,Charles Jarrott,The Boy in Blue,1986-01-01,100,5,1303,Biography,"William Beeton, Nicolas Cage"
129,tt0090774,Brighton Beach Memoirs,Gene Saks,Brighton Beach Memoirs,1986-01-01,108,6,3741,Comedy,"Stacey Glick, Brian Drillinger, Blythe Danner"
134,tt0090798,Caravaggio,Derek Jarman,Caravaggio,1986-01-01,93,6,6467,Biography,"Lol Coxhill, Emile Nicolaou"
137,tt0090812,Chameli Ki Shaadi,Basu Chatterjee,Chameli Ki Shaadi,1986-01-01,136,7,1734,Comedy,Anil Kapoor
139,tt0090830,Children of a Lesser God,Randa Haines,Children of a Lesser God,1986-01-01,119,7,17741,Drama,"María Cellario, Linda Bove, William D. Byrd, William Hurt"
144,tt0090848,The Clan of the Cave Bear,Michael Chapman,The Clan of the Cave Bear,1986-01-01,98,5,6724,Adventure,"Joey Cramer, John Doolittle, Lou Fant, Daryl Hannah"
146,tt0090852,Clockwise,Christopher Morahan,Clockwise,1986-01-01,96,6,13218,Comedy,"Nadia Sawalha, Ann Way, Dickie Arnold, John Cleese"
147,tt0090856,Club Paradise,Harold Ramis,Club Paradise,1986-01-01,96,5,6545,Comedy,"Louise Bennett, Robin Williams"
148,tt0090859,Cobra,George P. Cosmatos,Cobra,1986-01-01,87,5,75827,Action,"John Cafferty, Ed Arter, Val Avery, Sylvester Stallone"
149,tt0090863,The Color of Money,Martin Scorsese,The Color of Money,1986-01-01,119,7,87787,Drama,"Elizabeth Bracco, Harold L. Simonsen, Steve Mizerak, Paul Newman"
154,tt0090886,Crimes of the Heart,Bruce Beresford,Crimes of the Heart,1986-01-01,105,6,4257,Comedy,"Tess Harper, Beth Henley, Diane Keaton"
155,tt0090887,Critters,Stephen Herek,Critters,1986-01-01,86,6,36883,Comedy,"Art Frankel, M. Emmet Walsh, Billy Green Bush, Dee Wallace"
156,tt0090888,Crossroads,Walter Hill,Crossroads,1986-01-01,99,7,16753,Drama,"Steve Vai, John Price, Ralph Macchio"
159,tt0090903,The Devil's Honey,Lucio Fulci,Il miele del diavolo,1986-01-01,83,5,1480,Mystery,"Stefano Madia, Gianni Giuliano, Brett Halsey"
160,tt0090904,Dangerously Close,Albert Pyun,Dangerously Close,1986-01-01,95,5,1469,Action,"Benmont Tench, Mark Durbin, Debra Berger, John Stockwell"
161,tt0090915,Dead End Drive-In,Brian Trenchard-Smith,Dead End Drive-In,1986-01-01,88,5,3507,Action,"David Jones, Ned Manning, Ian Goddard"
162,tt0090917,Deadly Friend,Wes Craven,Deadly Friend,1986-01-01,91,5,8247,Drama,"Michael Sharrett, Matthew Labyorteaux, Peter C. Graupner"
164,tt0090927,The Delta Force,Menahem Golan,The Delta Force,1986-01-01,125,5,20999,Action,"Mosko Alkalai, Tom Carlin, John Gant, Chuck Norris"
166,tt0090930,Demons 2,Lamberto Bava,DÇùmoni 2... l'incubo ritorna,1986-01-01,92,5,11162,Horror,"Lamberto Bava, David Edwin Knight, Fabio Poggiali"
168,tt0090934,Desert Bloom,Eugene Corr,Desert Bloom,1986-01-01,105,6,1049,Drama,"Rick Schieffer, Drasha Meyer, Jon Voight"
170,tt0090944,Devil in the Flesh,Marco Bellocchio,Diavolo in corpo,1986-01-01,114,5,1652,Drama,"Claudio Lorimer, Maruschka Detmers"
173,tt0090952,Peking Opera Blues,Hark Tsui,Do ma daan,1986-01-01,104,7,2524,Action,"Yin Szema, Paul Chun, Sally Yeh, Brigitte Lin"
174,tt0090956,Eastern Condors,Sammo Kam-Bo Hung,Dung fong tuk ying,1987-01-01,98,7,2695,Action,Sammo Kam-Bo Hung
176,tt0090966,Down and Out in Beverly Hills,Paul Mazursky,Down and Out in Beverly Hills,1986-01-01,103,6,19699,Comedy,"Donald F. Muhich, Jack Bruskoff, Robert Banas, Nick Nolte"
177,tt0090967,Down by Law,Jim Jarmusch,Down by Law,1986-01-01,107,7,52886,Comedy,"Tom Jarmusch, Tom Waits, Nicoletta Braschi"
179,tt0090985,The Decline of the American Empire,Denys Arcand,Le dǸclin de l'empire amǸricain,1986-01-01,101,7,8478,Comedy,"Mark Blandford, Yves Jacques, Denys Arcand, Dominique Michel"
185,tt0091019,Every Time We Say Goodbye,Moshé Mizrahi,Every Time We Say Goodbye,1986-01-01,95,5,2585,Drama,"Dafna Armoni, Cristina Marsillach, Alexandre Lagoya, Tom Hanks"
186,tt0091024,Extremities,Robert M. Young,Extremities,1986-01-01,89,6,4063,Drama,"Roger Steffens, Enid Kent, Farrah Fawcett"
187,tt0091027,Eye of the Tiger,Richard C. Sarafian,Eye of the Tiger,1986-01-01,92,5,2265,Action,"Tony Scotti, Kathryn Fuller, Gary Busey"
191,tt0091042,Ferris Bueller's Day Off,John Hughes,Ferris Bueller's Day Off,1986-01-01,103,7,366725,Comedy,"Matthew Broderick, John Hughes, Mia Sara, Matthew Broderick"
193,tt0091053,Fire with Fire,Duncan Gibbins,Fire with Fire,1986-01-01,103,6,1801,Drama,"Duncan Gibbins, Craig Sheffer"
194,tt0091055,Firewalker,J. Lee Thompson,Firewalker,1986-01-01,105,5,7140,Action,"John Hazelwood, Chuck Norris"
195,tt0091059,Flight of the Navigator,Randal Kleiser,Flight of the Navigator,1986-01-01,90,6,49626,Adventure,"Neil Arthur, Matt Adler, Paul Reubens, Joey Cramer"
196,tt0091060,Flodder,Dick Maas,Flodder,1986-01-01,111,6,7414,Action,"Bert André, Barbara Barendrecht, Peter De Bont, Nelly Frijda"
197,tt0091064,The Fly,David Cronenberg,The Fly,1986-01-01,96,7,189111,Drama,"George Chuvalo, Geena Davis, Joy Boushel, Jeff Goldblum"
201,tt0091080,Friday the 13th Part VI: Jason Lives,Tom McLoughlin,Jason Lives: Friday the 13th Part VI,1986-01-01,86,6,47289,Horror,"Renée Jones, J. Barry Herron, Darcy DeMoss, Thom Mathews"
203,tt0091083,From Beyond,Stuart Gordon,From Beyond,1986-01-01,85,6,27813,Horror,"Albert Band, Stuart Gordon, John Carl Buechler, Jeffrey Combs"
206,tt0091091,Millionaires' Express,Sammo Kam-Bo Hung,Foo gwai lip che,1986-01-01,108,7,1969,Action,"Kenny Bee, Dick Wei, Sammo Kam-Bo Hung"
207,tt0091093,The Fugitives,Francis Veber,Les fugitifs,1986-01-01,95,7,7325,Comedy,"Arno Klarsfeld, Pierre Richard"
210,tt0091113,Ginger & Fred,Federico Fellini,Ginger e Fred,1986-01-01,127,7,5381,Comedy,"Elena Cantarone, Rinaldo Geleng, Salvatore Billa, Marcello Mastroianni"
214,tt0091129,The Golden Child,Michael Ritchie,The Golden Child,1986-01-01,94,5,57385,Action,"Donald E. Thorin, Warren Demartini, Charlotte Lewis, Eddie Murphy"
216,tt0091142,Gothic,Ken Russell,Gothic,1986-01-01,87,5,8248,Drama,"Pascal King, Graham Day, Cosey Fanni Tutti, Gabriel Byrne"
218,tt0091159,Gung Ho,Ron Howard,Gung Ho,1986-01-01,112,6,13410,Comedy,"Dock Ellis, Tamie Saiki, Jim S. Cash, Michael Keaton"
219,tt0091164,Half Moon Street,Bob Swaim,Half Moon Street,1986-01-01,90,5,2677,Drama,"Bob Swaim, Sigourney Weaver"
220,tt0091166,Hands of Steel,Sergio Martino,Vendetta dal futuro,1986-01-01,94,5,2690,Action,John Crowther
221,tt0091167,Hannah and Her Sisters,Woody Allen,Hannah and Her Sisters,1986-01-01,107,7,73023,Comedy,"Maureen O'Sullivan, Woody Allen, Barbara Hershey, Mia Farrow"
222,tt0091178,Haunted Honeymoon,Gene Wilder,Haunted Honeymoon,1986-01-01,82,5,7619,Comedy,"Eve Ferret, Julann Griffin, Gene Wilder"
223,tt0091187,Heartbreak Ridge,Clint Eastwood,Heartbreak Ridge,1986-01-01,130,6,45461,Drama,"John Eames, Trish Garland, Darwyn Swalve, Clint Eastwood"
224,tt0091188,Heartburn,Mike Nichols,Heartburn,1986-01-01,108,6,11767,Comedy,"Yakov Smirnoff, Jack Neam, Karen Akers, Meryl Streep"
225,tt0091192,Hell High,Douglas Grossman,Hell High,1987-01-01,84,5,1148,Crime,Christopher Stryker
227,tt0091203,Highlander,Russell Mulcahy,Highlander,1986-01-01,116,7,139730,Action,"Peter Banks, Martin Atkinson, Verner Gresty, Christopher Lambert"
228,tt0091209,The Hitcher,Robert Harmon,The Hitcher,1986-01-01,97,7,49845,Action,"Gene Davis, Rutger Hauer, Henry Darrow"
229,tt0091214,Man Facing Southeast,Eliseo Subiela,Hombre mirando al sudeste,1986-01-01,105,7,4340,Drama,"Marta Albertinazzi, Pedro Aznar, Eliseo Subiela, Lorenzo Quinteros"
230,tt0091217,Hoosiers,David Anspaugh,Hoosiers,1986-01-01,114,7,48542,Drama,"David Anspaugh, Brad Boyle, Ray Crowe, Gene Hackman"
232,tt0091229,Royal Warriors,David Chung,Wong ga jin si,1986-01-01,96,6,1660,Action,"Reiko Niwa, Michelle Yeoh"
236,tt0091256,Permission,Gulzar,Ijaazat,1987-01-01,137,8,1592,Drama,"Anuradha Patel, Rekha"
241,tt0091270,Inspector Lavardin,Claude Chabrol,Inspecteur Lavardin,1986-01-01,100,6,1434,Crime,Jean Poiret
242,tt0091276,Invaders from Mars,Tobe Hooper,Invaders from Mars,1986-01-01,100,5,9716,Horror,"Scot Holton, Aaron Scott Bernard, Shawn Campbell, Karen Black"
243,tt0091278,Iron Eagle,Sidney J. Furie,Iron Eagle,1986-01-01,117,5,15204,Action,"Jerry Hyman, David Greenlee, Sidney J. Furie, Louis Gossett Jr."
247,tt0091288,Jean de Florette,Claude Berri,Jean de Florette,1986-01-01,120,8,26523,Comedy,"Bruno Nuytten, Claude Berri, Pascal Baeumler, Yves Montand"
249,tt0091295,"Jo Jo Dancer, Your Life Is Calling",Richard Pryor,"Jo Jo Dancer, Your Life Is Calling",1986-01-01,97,6,1906,Biography,"Kiblena Peace, Richard Pryor"
251,tt0091306,Jumpin' Jack Flash,Penny Marshall,Jumpin' Jack Flash,1986-01-01,105,5,19961,Comedy,"Benji Gregory, Teagan Clive, June Chadwick, Whoopi Goldberg"
253,tt0091314,The Return of the Jonsson League,Mikael Ekman,JÇônssonligan dyker upp igen,1986-01-01,88,6,3643,Comedy,"Birgitta Andersson, Jacob Dahlin, Gösta Ekman"
258,tt0091326,The Karate Kid Part II,John G. Avildsen,The Karate Kid Part II,1986-01-01,113,6,93303,Action,"Tamlyn Tomita, Pat Morita, Jim Bullock"
259,tt0091328,Karma,Subhash Ghai,Karma,1986-01-01,193,7,2275,Action,"Satish Kaul, C.S. Dubey, Dilip Kumar"
260,tt0091338,Killer Party,William Fruet,Killer Party,1986-01-01,91,5,2523,Comedy,"Alicia Fleer, Sherry Willis-Burch, Martin Hewitt"
261,tt0091341,Kin-dza-dza!,Georgiy Daneliya,Kin-dza-dza!,1986-01-01,135,7,13077,Comedy,"Levan Gabriadze, Valentin Bukin, Georgiy Daneliya, Stanislav Lyubshin"
264,tt0091355,The Terrorizers,Edward Yang,Kong bu fen zi,1986-01-01,109,7,4823,Crime,"Hsiao-Yeh, Cora Miao"
267,tt0091364,Courier,Karen Shakhnazarov,Kuryer,1986-01-01,88,7,4993,Comedy,"Nikolai Karnaukhov, Anastasiya Nemolyaeva, Fyodor Dunayevsky"
268,tt0091369,Labyrinth,Jim Henson,Labyrinth,1986-01-01,101,7,141805,Adventure,"Nigel Plaskitt, Michael Attwell, Gates McFadden"
270,tt0091374,Lady Jane,Trevor Nunn,Lady Jane,1986-01-01,136,7,6864,Biography,"Sara Kestelman, Adèle Anderson, Zelah Clarke, Helena Bonham Carter"
273,tt0091396,Legal Eagles,Ivan Reitman,Legal Eagles,1986-01-01,116,6,11524,Comedy,"Chevi Colton, Harper Flaherty, Robert Redford"
274,tt0091398,The Beauty of Vice,Zivko Nikolic,Lepota poroka,1986-01-01,105,8,2157,Drama,"Boba Stefanovic, Mira Furlan, Dragan Nikolic"
275,tt0091406,Dust in the Wind,Hsiao-Hsien Hou,LiÇÿn liÇÿn fengchǸn,1986-01-01,109,7,2928,Drama,Ching Chun Hsu
276,tt0091410,Scene of the Crime,André Téchiné,Le lieu du crime,1986-01-01,90,6,1004,Crime,"Nicolas Giraudi, Jean Bousquet, Nicolas Giraudi"
278,tt0091415,Link,Richard Franklin,Link,1986-01-01,103,5,3487,Horror,"Richard Franklin, Terence Stamp"
279,tt0091419,Little Shop of Horrors,Frank Oz,Little Shop of Horrors,1986-01-01,94,7,79765,Comedy,"Anthony Asbury, Nick Curtis, Roger Corman, Rick Moranis"
280,tt0091428,Legacy of Rage,Ronny Yu,Long zai jiang hu,1986-01-01,90,6,1433,Action,Brandon Lee
284,tt0091445,Lucas,David Seltzer,Lucas,1986-01-01,100,6,16783,Comedy,"Corey Haim, Colleen Dion, Charlie Dore, Corey Haim"
289,tt0091464,Malcolm,Nadia Tass,Malcolm,1986-01-01,85,7,2635,Comedy,"Lindy Davies, Colin Friels"
290,tt0091466,Mama is boos!,Ruud van Hemert,Mama is boos!,1986-01-01,110,5,1361,Comedy,"Ruud van Hemert, Donna Baron, Hans van der Togt, Peter Faber"
293,tt0091472,The Manhattan Project,Marshall Brickman,The Manhattan Project,1986-01-01,117,6,6442,Sci-Fi,"Curt Dempster, Christopher Collet, Ken Chapin, John Lithgow"
294,tt0091474,Manhunter,Michael Mann,Manhunter,1986-01-01,120,7,75960,Crime,"Michael Mann, David Allen Brooks, Dennis Farina, William Petersen"
295,tt0091480,Manon of the Spring,Claude Berri,Manon des sources,1986-01-01,113,8,22992,Drama,"Gabriel Bacquier, Fransined, Yves Montand"
297,tt0091495,Matador,Pedro Almodóvar,Matador,1986-01-01,110,7,12259,Drama,"Eva Cobo, Concha Hidalgo, Bibiana Fernández, Assumpta Serna"
298,tt0091497,Bad Blood,Leos Carax,Mauvais sang,1986-01-01,116,7,8784,Crime,"Denis Lavant, Leos Carax, Alain Dahan, Michel Piccoli"
299,tt0091498,Max My Love,Nagisa Ôshima,Max mon amour,1986-01-01,92,6,1206,Comedy,Charlotte Rampling
300,tt0091499,Maximum Overdrive,Stephen King,Maximum Overdrive,1986-01-01,98,5,33739,Action,"Stephen King, Armando Nannuzzi, Pat Miller, Emilio Estevez"
301,tt0091506,The Beekeeper,Theodoros Angelopoulos,O melissokomos,1986-01-01,122,7,2698,Drama,Marcello Mastroianni
302,tt0091507,MǸlo,Alain Resnais,MǸlo,1986-01-01,112,7,1694,Drama,"Marie-Françoise Bucquet, Pierre Arditi, Sabine Azéma"
308,tt0091530,The Mission,Roland Joffé,The Mission,1986-01-01,125,7,62905,Adventure,"Daniel Berrigan, Robert Bolt, Alejandro Azzano, Robert De Niro"
311,tt0091534,Modern Girls,Jerry Kramer,Modern Girls,1986-01-01,84,5,1601,Comedy,"Anita Rosenberg, France Joli, Daphne Zuniga"
313,tt0091537,Momo,Johannes Schaaf,Momo,1986-01-01,101,6,2004,Comedy,"Radost Bokel, Michael Ende, Hartmut Kollakowsky, Radost Bokel"
314,tt0091538,Mona Lisa,Neil Jordan,Mona Lisa,1986-01-01,104,7,17521,Crime,"David Leland, Bob Hoskins"
316,tt0091541,The Money Pit,Richard Benjamin,The Money Pit,1986-01-01,91,6,58891,Comedy,"Shelley Long, J. Cynthia Brooks, Tetchie Agbayani, Tom Hanks"
319,tt0091554,The Morning After,Sidney Lumet,The Morning After,1986-01-01,103,5,6980,Crime,"Harry Langdon, Gladys Portugues, Jane Fonda"
320,tt0091555,MorrhǾr & ÇÏrtor,Gösta Ekman,MorrhǾr & ÇÏrtor,1986-01-01,101,5,1371,Comedy,"Sanna Ekman, Jan Kruse, Gösta Ekman"
322,tt0091557,The Mosquito Coast,Peter Weir,The Mosquito Coast,1986-01-01,117,6,29886,Adventure,"Tiger Haynes, River Phoenix, Aurora Clavel, Harrison Ford"
324,tt0091575,Murphy's Law,J. Lee Thompson,Murphy's Law,1986-01-01,100,5,5913,Action,"Leigh Lombardi, Kathleen Wilhoite, Randall Carver, Charles Bronson"
325,tt0091579,My Chauffeur,David Beaird,My Chauffeur,1986-01-01,97,5,2058,Comedy,"Robin Antin, David Beaird, Deborah Foreman"
327,tt0091598,Naam,Mahesh Bhatt,Naam,1986-01-01,177,7,1110,Crime,Nutan
328,tt0091601,Nagina,Harmesh Malhotra,Nagina,1986-01-01,137,6,1095,Fantasy,"Sridevi, Sridevi"
330,tt0091605,The Name of the Rose,Jean-Jacques Annaud,Der Name der Rose,1986-01-01,130,7,111265,Drama,"Jean-Jacques Annaud, Sean Connery, Tonino Delli Colli"
331,tt0091607,Martial Arts of Shaolin,Chia-Liang Liu,Nan bei Shao Lin,1986-01-01,94,6,2451,Action,Jet Li
334,tt0091630,Night of the Creeps,Fred Dekker,Night of the Creeps,1986-01-01,88,6,24683,Comedy,"Elizabeth Alda, Katherine Britton, Richard DeHaven, Jason Lively"
335,tt0091635,9¶« Weeks,Adrian Lyne,Nine 1/2 Weeks,1986-01-01,117,5,42157,Drama,"Tonino Accolla, Michael Brecker, Julian Beck, Mickey Rourke"
337,tt0091637,No Mercy,Richard Pearce,No Mercy,1986-01-01,106,5,7956,Crime,"Dave Petitjean, Carl Gordon, Richard Gere"
339,tt0091647,Nomads,John McTiernan,Nomads,1986-01-01,91,5,4784,Horror,"Anna Maria Monticelli, Lesley-Anne Down"
340,tt0091653,Nothing in Common,Garry Marshall,Nothing in Common,1986-01-01,118,5,7459,Comedy,"Andra Akers, Harry Gelt, Lynda Goodfriend, Tom Hanks"
343,tt0091658,Nutcracker,Carroll Ballard,Nutcracker,1986-01-01,89,6,1310,Family,Patricia Barker
345,tt0091670,The Sacrifice,Andrei Tarkovsky,Offret,1986-01-01,149,7,29305,Drama,"Erland Josephson, Daniel Bergman, Tintin Anderzon, Erland Josephson"
346,tt0091671,From a Whisper to a Scream,Jeff Burr,The Offspring,1987-01-01,99,5,2674,Action,"David Del Valle, Jeff Burr, Vincent Price"
349,tt0091680,One Crazy Summer,Savage Steve Holland,One Crazy Summer,1986-01-01,93,6,15894,Comedy,"John Matuszak, Kristen Goelz, John Cusack"
357,tt0091706,Out of Bounds,Richard Tuggle,Out of Bounds,1986-01-01,93,5,1874,Action,"Stiv Bators, Brie Howard, Anthony Michael Hall"
358,tt0091707,The Outing,Tom Daley,The Outing,1987-01-01,87,5,1990,Horror,"Deborah Winters, Roy Alan Wilson, Tom Daley, Deborah Winters"
361,tt0091725,Parting Glances,Bill Sherwood,Parting Glances,1986-01-01,90,7,3094,Drama,"Yolande Bavan, Richard Ganoung, Hanna Hartowicz, John Bolger"
362,tt0091738,Peggy Sue Got Married,Francis Ford Coppola,Peggy Sue Got Married,1986-01-01,103,6,38826,Comedy,"Leon Ames, Don Murray, Jimmy Clanton, Kathleen Turner"
365,tt0091757,Pirates,Roman Polanski,Pirates,1986-01-01,121,6,9026,Action,"Jerzy Celinski, Wladyslaw Baranski, Mark Lombardo, Walter Matthau"
366,tt0091759,Dead Man's Letters,Konstantin Lopushanskiy,Pisma myortvogo cheloveka,1986-01-01,87,7,3467,Drama,"Konstantin Lopushanskiy, Nora Gryakalova, Rolan Bykov"
368,tt0091763,Platoon,Oliver Stone,Platoon,1986-01-01,120,8,420938,Drama,"Francesco Quinn, Oliver Stone, Kathryn Clayton, Charlie Sheen"
375,tt0091777,Police Academy 3: Back in Training,Jerry Paris,Police Academy 3: Back in Training,1986-01-01,83,5,46712,Comedy,"Georgina Spelvin, Jack Creley, Arthur Batanides, Steve Guttenberg"
