,tconst,primaryTitle,Directors,originalTitle,startYear,runtimeMinutes,averageRating,numVotes,genre 1,Crew
5601,tt0116390,Gamera 2: Attack of the Legion,Shûsuke Kaneko,Gamera 2: Region shurai,1996-01-01,99,7,2820,Action,"Miyuki Komatsu, La Salle Ishii, Kazue Tsunogae, Toshiyuki Nagashima"
5603,tt0116404,Get on the Bus,Spike Lee,Get on the Bus,1996-01-01,120,6,5839,Adventure,"Don Everly, Milton Cardona, Ossie Davis"
5604,tt0116407,Ghatak: Lethal,Rajkumar Santoshi,Ghatak: Lethal,1996-01-01,158,7,3859,Action,"Madhav Moghe, Sunny Deol"
5605,tt0116409,The Ghost and the Darkness,Stephen Hopkins,The Ghost and the Darkness,1996-01-01,110,6,63674,Adventure,"Simon Damast, Jack Couffer, Bryan de Klerk, Michael Douglas"
5606,tt0116410,Ghosts of Mississippi,Rob Reiner,Ghosts of Mississippi,1996-01-01,130,6,11536,Drama,"Marilyn Lovell, Billy Taylor, Sky Rumph, Alec Baldwin"
5607,tt0116414,Girl 6,Spike Lee,Girl 6,1996-01-01,108,5,6485,Comedy,"Shari Freels, Theresa Randle"
5609,tt0116421,The Glimmer Man,John Gray,The Glimmer Man,1996-01-01,91,5,20623,Action,"Harris Laskawy, Paige Rowland, Steven Seagal"
5610,tt0116422,Glory Daze,Rich Wilkes,Glory Daze,1995-01-01,100,5,3637,Comedy,"Matthew Hennessey, Ben Affleck"
5614,tt0116442,Grace of My Heart,Allison Anders,Grace of My Heart,1996-01-01,116,6,3967,Comedy,"Kathy Barbour, Cynthia Strother, Illeana Douglas"
5615,tt0116445,Les grands ducs,Patrice Leconte,Les grands ducs,1996-01-01,85,5,1032,Comedy,Jean-Pierre Marielle
5616,tt0116446,The Grave,Jonas Pate,The Grave,1996-01-01,90,5,1376,Crime,"Jerry Douglas, Craig Sheffer"
5617,tt0116448,The Great White Hype,Reginald Hudlin,The Great White Hype,1996-01-01,91,5,10421,Comedy,"Jonathan P. Hicks, Craig Modderno, Samuel L. Jackson"
5619,tt0116455,Young and Dangerous 3,Andrew Lau,Goo wak chai 3: Jek sau je tin,1996-01-01,98,6,1150,Action,"Halina Tam, Ekin Cheng"
5620,tt0116456,Young and Dangerous,Andrew Lau,Goo wak chai: Yan joi gong woo,1996-01-01,97,7,1917,Action,"Gigi Lai, Jordan Chan, Ekin Cheng"
5624,tt0116477,Hamlet,Kenneth Branagh,Hamlet,1996-01-01,242,7,38868,Drama,"Kenneth Branagh, Plácido Domingo, Lindy Davies, Kenneth Branagh"
5625,tt0116480,Hamsun,Jan Troell,Hamsun,1996-01-01,159,7,1637,Biography,"Frederik Dessau, Bjarne Bjørndalen, Lotte Dandanell, Max von Sydow"
5626,tt0116483,Happy Gilmore,Dennis Dugan,Happy Gilmore,1996-01-01,92,7,232917,Comedy,"Julie Bowen, Kevin Nealon, Christopher McDonald, Adam Sandler"
5627,tt0116488,Hard Core Logo,Bruce McDonald,Hard Core Logo,1996-01-01,92,7,2750,Comedy,"Alexa Mardon, Hugh Dillon"
5629,tt0116493,Harriet the Spy,Bronwen Hughes,Harriet the Spy,1996-01-01,100,5,10595,Comedy,"Vanessa Chester, Byron Wong, Michelle Trachtenberg"
5631,tt0116502,Head Above Water,Jim Wilson,Head Above Water,1996-01-01,92,6,7926,Comedy,Harvey Keitel
5632,tt0116503,Head of the Family,Charles Band,Head of the Family,1996-01-01,82,5,2417,Comedy,Gary Anello
5633,tt0116506,Hearts & Minds,Ralph Ziman,Hearts & Minds,1995-01-01,100,6,3326,Drama,"Patrick Shai, Danny Keogh"
5634,tt0116508,Heaven's Prisoners,Phil Joanou,Heaven's Prisoners,1996-01-01,132,5,5555,Drama,"Patricia Huston, Marion Zinser, Keith Christopher, Alec Baldwin"
5636,tt0116514,Hellraiser: Bloodline,Kevin Yagher,Hellraiser: Bloodline,1996-01-01,85,5,23130,Horror,"Peter Atkins, Christine Harnos, Robert Lee, Bruce Ramsay"
5637,tt0116516,"Henry: Portrait of a Serial Killer, Part 2",Chuck Parello,"Henry: Portrait of a Serial Killer, Part 2",1996-01-01,84,5,1169,Crime,"Don Rimgale, Daniel Allar, Penelope Milford"
5638,tt0116531,High School High,Hart Bochner,High School High,1996-01-01,86,5,13736,Comedy,"Grand Puba, Gil Espinoza, Dalvin DeGrate, Jon Lovitz"
5642,tt0116552,Homeward Bound II: Lost in San Francisco,David R. Ellis,Homeward Bound II: Lost in San Francisco,1996-01-01,88,5,15544,Adventure,"Kevin Chevalia, Robin Douglas, Michael J. Fox"
5648,tt0116571,House Arrest,Harry Winer,House Arrest,1996-01-01,108,5,8943,Comedy,"Jessica Frank, Kyle Howard, Duke Maltin, Jamie Lee Curtis"
5652,tt0116581,The Eighth Day,Jaco Van Dormael,Le huitiÇùme jour,1996-01-01,118,7,9809,Comedy,"Jo De Backer, Jaco Van Dormael, Daniel Auteuil"
5654,tt0116592,"I Love You, I Love You Not",Billy Hopkins,"I Love You, I Love You Not",1996-01-01,88,5,2848,Drama,"Gudrun Roscher, Adam Grabel, Jeanne Moreau"
5655,tt0116594,I Shot Andy Warhol,Mary Harron,I Shot Andy Warhol,1996-01-01,103,6,6918,Biography,"Myriam Cyr, Keith Reamer, Lili Taylor"
5656,tt0116601,I'm Not Rappaport,Herb Gardner,I'm Not Rappaport,1996-01-01,135,6,1778,Comedy,"Herb Gardner, Marion Killinger, Walter Matthau"
